Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1.0,55.0,Male,Blouse,Clothing,53.0,,L,Gray,Winter,3.1,Yes,Credit Card,Express,Yes,Yes,14.0,Venmo,Fortnightly
2.0,19.0,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,Yes,Yes,2.0,Cash,Fortnightly
3.0,50.0,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,Free Shipping,Yes,Yes,23.0,Credit Card,Weekly
4.0,21.0,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,,Yes,PayPal,Next Day Air,Yes,Yes,49.0,PayPal,Weekly
5.0,45.0,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,Yes,Yes,31.0,PayPal,Annually
6.0,46.0,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Venmo,Standard,Yes,Yes,14.0,Venmo,Weekly
7.0,63.0,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,49.0,Cash,Quarterly
8.0,27.0,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,19.0,Credit Card,Weekly
9.0,26.0,Male,Coat,Outerwear,97.0,West Virginia,L,,Summer,2.6,Yes,Venmo,Express,,Yes,,Venmo,Annually
10.0,57.0,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,PayPal,2-Day Shipping,Yes,Yes,4.0,Cash,Quarterly
11.0,53.0,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,26.0,Bank Transfer,Bi-Weekly
12.0,30.0,Male,Shorts,Clothing,68.0,Hawaii,,Olive,Winter,4.9,Yes,PayPal,Store Pickup,Yes,Yes,10.0,Bank Transfer,Fortnightly
13.0,61.0,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,,PayPal,Express,Yes,Yes,37.0,Venmo,Fortnightly
